step,train_loss,val_loss,train_ppl,val_ppl
0,6.225706100463867,6.222091197967529,505.57990665762577,503.7555839519163
100,4.472285270690918,4.5428385734558105,87.55658505464977,93.95712615192312
200,4.0163702964782715,4.105648994445801,55.49929380727939,60.6821141259325
300,3.7937183380126953,3.9461302757263184,44.421266856316706,51.73477964400092
400,3.638502597808838,3.833998918533325,38.03484060932535,46.24710736455021
500,3.5150954723358154,3.769763231277466,33.61913746829118,43.36979500915184
600,3.3608970642089844,3.686997890472412,28.81502821912984,39.92480821558622
700,3.2546088695526123,3.630871534347534,25.909478565942315,37.74569895916974
800,3.2507991790771484,3.5431454181671143,25.810959255421835,34.57550274546341
900,3.1804909706115723,3.4734408855438232,24.05856270009738,32.247511760235504
999,3.0912868976593018,3.434993267059326,22.00537843195843,31.031203633571607
