step,train_loss,val_loss,train_ppl,val_ppl
0,6.215857028961182,6.217961311340332,500.6248553887615,501.6794206128952
100,5.039397716522217,5.0839080810546875,154.37700829904676,161.40360333054304
200,4.466540336608887,4.506246089935303,87.05502035261911,90.58114600794886
300,4.152712821960449,4.244912147521973,63.60631907657414,69.74963219669945
400,3.976935863494873,4.1100172996521,53.353301706771596,60.94777193575283
500,3.8700523376464844,3.996098756790161,47.94489533813731,54.38556431497657
600,3.7381224632263184,3.896954298019409,42.01902379469342,49.25221287197682
700,3.654313325881958,3.8580029010772705,38.64097824339726,47.3706529592883
800,3.612429141998291,3.82026743888855,37.055957757953905,45.6164062906683
900,3.497673511505127,3.828390598297119,33.03849879074723,45.988464729742034
999,3.568727970123291,3.787421464920044,35.471443705830545,44.14243059591543
