step,train_loss,val_loss,train_ppl,val_ppl
0,6.215857982635498,6.217958927154541,500.6253328220559,501.6782245173748
20,5.772927284240723,5.7891435623168945,321.47741238452596,326.73307799445575
40,5.475518226623535,5.522027969360352,238.77417400772396,250.1418030755498
60,5.35694694519043,5.401165008544922,212.07647594038397,221.66450688069622
80,5.220078468322754,5.260601043701172,184.94869611528776,192.5972158594578
99,5.081778526306152,5.106844902038574,161.0602512439316,165.14847240288822
